證券代號,股本
4764,8.5542062
4766,12.057078
4770,7.9976
4771,5.85277
4807,4.8996032
4904,360.7025357
4906,42.7594111
4912,6.6993099
4915,47.1142824
4916,12.3389916
4919,41.9765268
4927,26.4937988
4930,8.0
4934,22.5
4935,12.8864091
4938,268.2165103
4942,14.2367613
4943,12.6694353
4949,6.7703143
4952,10.8815816
4956,10.0408236
4958,107.0598156
4960,57.1705388
4961,12.1253603
4967,8.4963288
4968,9.2209898
4976,14.1351
4977,8.0189841
4989,13.77765
4994,6.63834
4999,7.44172
5007,29.4940154
5203,7.934255
5215,6.43375
5222,9.1059968
5225,7.9136499
5234,10.2715911
5243,16.8528915
5244,6.8241899
5258,11.0364894
5269,7.4777129
5283,8.760051
5284,5.2892683
5285,10.2040926
5288,6.9714722
5292,4.2108
5306,12.6000772
5388,30.4342542
5434,19.2354578
5469,48.6166
5471,16.7877062
5484,6.6801
5515,20.1600084
5519,21.919718
5521,49.2280155
